X,mean,MOEA_D,NSGA_II,R2_MOEA,VSD_MOEA,MOEA_D_Distance,NSGA_II_Distance,R2_MOEA_Distance,VSD_MOEA_Distance,MOEA_D_Position,NSGA_II_Position,R2_MOEA_Position,VSD_MOEA_Position
1,$0\%$,1.985207,1.984417,1.986497,1.986663,1.807407,1.808157,1.81023,1.810232,0.782039,0.778656,0.779103,0.779209
2,$10\%$,0.61242,0.536457,0.662073,2.836545,0.094015,0.076541,0.107533,2.724956,0.561637,0.522778,0.601528,0.739379
3,$20\%$,0.611859,0.512979,0.655124,2.754915,0.101108,0.07965,0.105003,2.64351,0.559491,0.500413,0.59946,0.726348
4,$30\%$,0.603453,0.493758,0.645266,2.649561,0.085069,0.08286,0.092282,2.538285,0.558579,0.478228,0.597317,0.710413
5,$40\%$,0.591736,0.463071,0.624927,2.56155,0.069484,0.070305,0.066248,2.447094,0.556912,0.454017,0.593571,0.706158
6,$50\%$,0.587318,0.462213,0.604911,2.434425,0.065651,0.072688,0.034046,2.316665,0.554814,0.45262,0.589872,0.696125
7,$60\%$,0.583863,0.470756,0.598834,2.329295,0.061902,0.076696,0.025377,2.206041,0.553463,0.459582,0.588016,0.690189
8,$70\%$,0.583597,0.470876,0.594251,2.195423,0.064045,0.077537,0.015581,2.058563,0.552611,0.460008,0.587196,0.69066
9,$80\%$,0.57857,0.472051,0.595263,2.002568,0.054987,0.076899,0.017578,1.844878,0.551566,0.460143,0.587158,0.681869
10,$90\%$,0.57582,0.46881,0.592244,1.573867,0.050388,0.075482,0.013714,1.300524,0.550395,0.458556,0.585883,0.667332
11,$100\%$,0.572676,0.457126,0.590256,1.2886,0.048214,0.076223,0.009592,0.939055,0.54876,0.446323,0.585492,0.644582
